x,y,theta
38.07,-19.52,0.0
38.06999999657273,-19.51999999815598,0.0
38.06999999471009,-19.51999999722466,0.0
38.07000000029802,-19.519999995362014,0.0
38.06999999657273,-19.51999999396503,0.0
38.06999999843538,-19.51999999023974,0.0
38.06999999657273,-19.519999988377094,0.0
38.06999999843538,-19.519999986048788,0.0
38.06999999657273,-19.519999984186143,0.0
38.06999999471009,-19.519999982323498,0.0
38.07000000029802,-19.51999998278916,0.0
38.06999999843538,-19.519999978132546,0.0
38.06999999657273,-19.51999997952953,0.0
38.06999999471009,-19.51999998278916,0.0
38.06999999657273,-19.51999997906387,0.0
38.06999999843538,-19.519999977201223,0.0
38.06999999284744,-19.51999997533858,0.0
38.06999998539686,-19.51999997533858,0.0
38.06999998353422,-19.51999997533858,0.05199999999604188
38.06999998167157,-19.51999997580424,0.06999999998151905
38.06999998167157,-19.51999997533858,0.13999999999941792
38.06999998167157,-19.5199999762699,0.17400000000634458
38.06999997794628,-19.519999977666885,0.24400000004243338
38.06999997794628,-19.519999977201223,0.2620000000388246
38.06999997794628,-19.519999974872917,0.33200000004580954
38.06999997794628,-19.519999973010272,0.34900000003835885
38.069999976083636,-19.519999970681965,0.41899999999441206
38.06999997422099,-19.519999969750643,0.41899999999441206
38.069999972358346,-19.51999997254461,0.4890000000159489
38.06999997794628,-19.5199999762699,0.5410000000993023
38.06999997794628,-19.519999977666885,0.5930000001535518
38.06999997794628,-19.519999978132546,0.6280000002298038
38.069999976083636,-19.519999978598207,0.6460000001534354
38.06999997422099,-19.519999974407256,0.698000000033062
38.069999972358346,-19.519999971147627,0.7149999999819556
38.069999976083636,-19.519999973010272,0.7499999999563443
38.069999968633056,-19.519999971613288,0.8029999999562278
38.069999968633056,-19.519999967422336,0.8379999997268897
38.069999968633056,-19.519999963697046,0.8549999998649582
38.069999964907765,-19.519999962765723,0.8899999998975544
38.06999996677041,-19.51999996509403,0.9249999999592546
38.0699999704957,-19.51999996509403,0.92500000007567
38.06999996304512,-19.519999966956675,0.9950000001990702
38.070197138004005,-19.520247192122042,1.0300000001152512
38.07304687611759,-19.52399978041649,1.2390000001178123
38.07667576614767,-19.52636061888188,1.3440000000991859
38.082617653533816,-19.528629804495722,1.4490000000805594
38.09031124878675,-19.52997450111434,1.5179999998945277
38.094804959371686,-19.530211974401027,1.5529999999853317
38.09980414714664,-19.530300949234515,1.5710000000544824
38.11080394778401,-19.52947371220216,1.6230000001960434
38.11676445696503,-19.528561451938003,1.6410000002360903
38.12961841374636,-19.52602856233716,1.6750000001629815
38.14332400821149,-19.522483749315143,1.6930000001448207
38.15789212100208,-19.518049837090075,1.7100000001955777
38.17329330556095,-19.512660729698837,1.745000000053551
38.18136999476701,-19.50951321190223,1.745000000228174
38.19831757619977,-19.501961508300155,1.7800000000861473
38.21591679379344,-19.4933691509068,1.7980000003008172
38.2250966494903,-19.48868087027222,1.7980000002426095
38.24425607919693,-19.478323977440596,1.7980000003008172
38.25435391999781,-19.47316686762497,1.8150000003515743
38.27500317059457,-19.4609105871059,1.815000000409782
38.29596802406013,-19.44826649222523,1.815000000584405
38.31841286923736,-19.43494444526732,1.8330000005662441
38.32995760906488,-19.427808028645813,1.8330000004498288
38.35328321252018,-19.413161208387464,1.8330000001587905
38.37814880814403,-19.397790469694883,1.8330000002752058
38.39083769265562,-19.389130405616015,1.8329999999259599
38.41675503458828,-19.37285615829751,1.8329999999841675
38.429771409370005,-19.364548238459975,1.8329999999259599
38.4566439203918,-19.34739641332999,1.8329999998095445
38.485152995213866,-19.32949474453926,1.832999999576714
38.529622960835695,-19.3017183621414,1.8149999993038364
38.54533435218036,-19.292392923962325,1.8149999994202517
38.57765493635088,-19.273209169972688,1.814999999536667
38.59336656704545,-19.263574497774243,1.8149999996530823
38.62656092457473,-19.24355467548594,1.814999999536667
38.64312183111906,-19.233399210963398,1.814999999536667
38.661077715456486,-19.222741569858044,1.8149999994202517
38.698382928967476,-19.20288257719949,1.7979999992530793
38.736701807007194,-19.18216876965016,1.7979999992530793
38.77617518790066,-19.16200914559886,1.7799999993294477
38.81693130452186,-19.14211104158312,1.7799999993294477
38.85861369688064,-19.12176070874557,1.7629999991040677
38.90178951155394,-19.102814284153283,1.762999999220483
38.92373449169099,-19.09255844866857,1.762999999395106
38.94637561682612,-19.08326230896637,1.762999999395106
38.99236724805087,-19.063080247025937,1.7449999992968515
39.03987719863653,-19.044565421994776,1.7449999992968515
39.08833735063672,-19.025680302176625,1.7279999993625097
39.13806788530201,-19.00726760411635,1.7279999992460944
39.21409824490547,-18.979117412585765,1.7099999991478398
39.2662646220997,-18.962266096379608,1.7099999988568015
39.319397039711475,-18.94510271633044,1.7099999987985939
39.346543395891786,-18.93705822620541,1.6929999986896291
39.37430970091373,-18.929340973030776,1.6929999987478368
39.43081658426672,-18.913635683245957,1.6929999985732138
39.45955715049058,-18.905647648032755,1.6929999986314215
39.51801254786551,-18.88940079556778,1.67499999870779
