-0.169,0.0,0.035
-0.169,0.0,0.035
-0.169,0.0,0.035
-0.169,0.0,0.035
-0.169,0.0,0.035
-0.169,0.0,0.175
-0.169,0.0,0.367
-0.169,0.0,0.524
-0.169,0.0,0.681
-0.169,0.0,0.838
-0.169,0.0,0.96
-0.154,0.038,1.274
-0.14,0.161,1.588
-0.15,0.281,1.71
-0.175,0.421,1.78
-0.211,0.561,1.833
-0.252,0.7,1.868
-0.289,0.819,1.868
-0.331,0.954,1.868
-0.373,1.092,1.85
-0.407,1.21,1.833
-0.448,1.37,1.798
-0.475,1.49,1.78
-0.511,1.67,1.745
-0.531,1.79,1.728
-0.552,1.93,1.71
-0.569,2.07,1.693
-0.578,2.165,1.641
-0.587,2.305,1.658
-0.597,2.425,1.658
-0.612,2.585,1.676
-0.624,2.709,1.676
-0.64,2.855,1.693
-0.652,2.977,1.676
-0.667,3.12,1.676
-0.681,3.266,1.658
-0.693,3.391,1.658
-0.711,3.577,1.676
-0.723,3.701,1.676
-0.735,3.826,1.676
-0.749,3.973,1.676
-0.763,4.12,1.676
-0.779,4.289,1.676
-0.791,4.415,1.676
-0.805,4.562,1.676
-0.819,4.709,1.676
-0.831,4.834,1.676
-0.845,4.98,1.676
-0.859,5.12,1.658
-0.87,5.24,1.658
-0.878,5.381,1.623
-0.885,5.521,1.641
-0.892,5.642,1.641
-0.904,5.803,1.658
-0.918,5.946,1.676
-0.93,6.069,1.676
-0.944,6.209,1.658
-0.956,6.349,1.641
-0.961,6.457,1.606
-0.961,6.599,1.588
-0.966,6.76,1.641
-0.979,6.9,1.693
-0.997,7.02,1.728
-1.02,7.16,1.745
-1.044,7.28,1.78
-1.074,7.42,1.798
-1.134,7.66,1.815
-1.171,7.801,1.833
-1.204,7.921,1.833
-1.256,8.099,1.85
-1.292,8.218,1.868
-1.347,8.371,1.955
-1.396,8.483,2.042
-1.454,8.59,2.112
-1.543,8.726,2.199
-1.615,8.823,2.217
-1.729,8.967,2.251
-1.807,9.057,2.304
-1.917,9.174,2.339
-1.987,9.245,2.356
-2.072,9.329,2.374
-2.22,9.465,2.409
-2.295,9.53,2.426
-2.416,9.634,2.461
-2.512,9.712,2.478
-2.624,9.798,2.496
-2.737,9.881,2.531
-2.872,9.975,2.548
-2.973,10.041,2.566
-3.094,10.116,2.618
-3.221,10.182,2.688
-3.37,10.248,2.723
-3.501,10.302,2.758
-3.615,10.347,2.775
-3.729,10.389,2.793
-3.865,10.432,2.88
-4.004,10.465,2.95
-4.144,10.488,3.019
-4.264,10.5,3.054
-4.424,10.51,3.072
-4.564,10.513,3.142
-4.704,10.509,3.194
-4.844,10.502,3.211
-4.981,10.495,3.194
-5.101,10.489,3.211
-5.243,10.477,3.264
-5.383,10.454,3.334
-5.543,10.421,3.368
-5.725,10.376,3.386
-5.845,10.346,3.386
-5.988,10.311,3.386
-6.109,10.28,3.386
-6.292,10.233,3.386
-6.434,10.196,3.403
-6.553,10.165,3.403
-6.714,10.119,3.421
-6.86,10.075,3.386
-7.007,10.033,3.473
-7.121,9.989,3.56
-7.245,9.92,3.718
-7.374,9.821,3.857
-7.464,9.741,3.892
-7.568,9.643,3.91
-7.679,9.533,3.997
-7.681,9.53,4.468
-7.684,9.503,4.52
-7.72,9.408,4.189
-8.61,9.007,3.386
-9.875,8.635,3.491
-10.011,8.586,3.473
-10.151,8.537,3.473
-10.271,8.495,3.473
-10.411,8.446,3.473
-10.528,8.404,3.473
-10.641,8.37,3.386
-10.779,8.335,3.403
-10.939,8.293,3.403
-11.097,8.246,3.421
-11.217,8.209,3.438
-11.354,8.165,3.456
-11.472,8.123,3.473
-11.611,8.074,3.473
-11.751,8.025,3.491
-11.889,7.976,3.473
-12.009,7.934,3.473
-12.145,7.885,3.473
-12.302,7.831,3.456
-12.442,7.782,3.456
-12.582,7.734,3.456
-12.722,7.687,3.438
-12.86,7.642,3.456
-12.98,7.6,3.456
-13.12,7.551,3.456
-13.26,7.502,3.456
-13.38,7.46,3.456
-13.56,7.397,3.456
-13.681,7.355,3.456
-13.821,7.306,3.456
-13.941,7.264,3.456
-14.081,7.215,3.456
-14.221,7.166,3.456
-14.361,7.118,3.456
-14.501,7.069,3.456
-14.621,7.027,3.456
-14.761,6.978,3.456
-14.881,6.936,3.456
-15.001,6.894,3.456
-15.181,6.831,3.456
-15.321,6.782,3.456
-15.441,6.74,3.456
-15.561,6.698,3.456
-15.721,6.642,3.456
-15.841,6.6,3.456
-15.981,6.551,3.456
-16.141,6.496,3.456
-16.261,6.454,3.456
-16.461,6.384,3.456
-16.598,6.336,3.473
-16.714,6.298,3.421
-16.852,6.256,3.421
-16.991,6.214,3.438
-17.128,6.17,3.456
-17.243,6.129,3.473
-17.403,6.073,3.491
-17.543,6.024,3.491
-17.663,5.982,3.491
-17.803,5.933,3.491
-17.943,5.884,3.491
-18.063,5.842,3.491
-18.223,5.786,3.491
-18.343,5.744,3.491
-18.461,5.702,3.491
-18.594,5.653,3.473
-18.734,5.604,3.473
-18.994,5.513,3.473
-19.174,5.45,3.473
-19.294,5.408,3.473
-19.434,5.359,3.473
-19.554,5.317,3.473
-19.711,5.261,3.473
-19.828,5.219,3.491
-19.968,5.17,3.491
-20.108,5.12,3.491
-20.228,5.078,3.508
-20.359,5.03,3.473
-20.458,5.0,3.403
-20.597,4.96,3.421
-20.735,4.918,3.438
-20.853,4.882,3.438
-21.01,4.83,3.473
-21.144,4.781,3.491
-21.264,4.739,3.491
-21.424,4.682,3.508
-21.544,4.639,3.508
-21.664,4.595,3.508
-21.804,4.544,3.508
-21.944,4.492,3.508
-22.078,4.442,3.508
-22.192,4.4,3.491
-22.372,4.337,3.473
-22.489,4.295,3.491
-22.629,4.246,3.491
-22.743,4.204,3.491
-22.901,4.147,3.508
-23.02,4.103,3.508
-23.16,4.05,3.508
-23.3,3.996,3.526
-23.48,3.926,3.526
-23.594,3.882,3.526
-23.711,3.834,3.543
-23.87,3.77,3.543
-23.988,3.722,3.543
-24.127,3.665,3.543
-24.265,3.609,3.543
-24.384,3.56,3.543
-24.519,3.504,3.56
-24.652,3.448,3.56
-24.786,3.388,3.578
-24.922,3.325,3.578
-25.058,3.262,3.578
-25.192,3.199,3.578
-25.308,3.145,3.578
-25.463,3.073,3.578
-25.578,3.019,3.595
-25.713,2.956,3.595
-25.829,2.902,3.578
-25.963,2.839,3.578
-26.098,2.776,3.595
-26.213,2.722,3.595
-26.385,2.641,3.578
-26.501,2.585,3.578
-26.637,2.522,3.595
-26.753,2.467,3.595
-26.889,2.404,3.595
-27.02,2.341,3.595
-27.132,2.287,3.595
-27.265,2.222,3.613
-27.379,2.166,3.613
-27.494,2.107,3.613
-27.627,2.04,3.613
-27.76,1.972,3.613
-27.893,1.904,3.613
-28.007,1.845,3.613
-28.141,1.776,3.613
-28.274,1.708,3.613
-28.425,1.628,3.665
-28.534,1.562,3.683
-28.657,1.487,3.683
-28.762,1.427,3.665
-28.867,1.367,3.648
-29.01,1.288,3.63
-29.123,1.229,3.63
-29.256,1.159,3.613
-29.371,1.101,3.613
-29.504,1.032,3.613
-29.637,0.964,3.613
-29.77,0.896,3.613
-29.921,0.819,3.613
-30.036,0.761,3.613
-30.169,0.694,3.613
-30.302,0.626,3.613
-30.435,0.558,3.613
-30.568,0.492,3.613
-30.682,0.435,3.613
-30.833,0.358,3.613
-30.926,0.31,3.63
-31.077,0.231,3.63
-31.188,0.172,3.63
-31.298,0.111,3.648
-31.448,0.03,3.648
-31.575,-0.04,3.665
-31.702,-0.113,3.665
-31.811,-0.178,3.683
-31.97,-0.282,3.735
-32.086,-0.362,3.735
-32.204,-0.439,3.718
-32.306,-0.505,3.718
-32.425,-0.581,3.683
-32.547,-0.652,3.665
-32.654,-0.712,3.648
-32.78,-0.779,3.63
-32.906,-0.842,3.578
-33.037,-0.897,3.508
-33.151,-0.938,3.456
-33.31,-0.982,3.368
-33.45,-1.007,3.299
-33.57,-1.021,3.211
-33.73,-1.024,3.124
-33.85,-1.019,3.072
-34.03,-1.001,3.019
-34.15,-0.984,3.002
-34.29,-0.963,2.967
-34.355,-0.951,2.897
-34.356,-0.951,2.793
-34.447,-0.908,2.653
-34.55,-0.844,2.531
-34.692,-0.73,2.426
-34.78,-0.649,2.356
-34.877,-0.546,2.304
-34.968,-0.441,2.286
-35.059,-0.334,2.251
-35.15,-0.224,2.234
-35.224,-0.128,2.217
-35.32,0.001,2.182
-35.389,0.101,2.164
-35.477,0.237,2.129
-35.54,0.34,2.112
-35.61,0.462,2.077
-35.679,0.588,2.059
-35.725,0.685,1.99
-35.784,0.822,1.99
-35.843,0.961,1.99
-35.899,1.099,1.972
-35.957,1.239,1.972
-36.013,1.372,1.99
-36.072,1.509,1.99
-36.123,1.626,1.99
-36.183,1.763,1.99
-36.236,1.882,1.99
-36.305,2.037,1.99
-36.358,2.155,1.99
-36.419,2.291,1.99
-36.48,2.428,1.99
-36.521,2.519,1.972
-36.591,2.685,1.972
-36.639,2.799,1.99
-36.699,2.935,1.99
-36.751,3.052,1.99
-36.812,3.189,1.99
-36.873,3.324,1.99
-36.927,3.442,2.007
-36.99,3.579,2.007
-37.053,3.716,2.007
-37.116,3.853,2.007
-37.167,3.966,2.007
-37.22,4.078,2.025
-37.302,4.248,2.025
-37.351,4.35,2.007
-37.405,4.465,2.007
-37.465,4.593,2.025
-37.527,4.721,2.042
-37.583,4.835,2.042
-37.652,4.968,2.042
-37.72,5.101,2.042
-37.78,5.215,2.042
-37.85,5.348,2.059
-37.92,5.481,2.059
-37.989,5.613,2.059
-38.069,5.765,2.059
-38.139,5.897,2.059
-38.199,6.011,2.059
-38.265,6.14,2.042
-38.333,6.273,2.042
-38.391,6.387,2.042
-38.459,6.52,2.042
-38.526,6.653,2.042
-38.593,6.786,2.042
-38.651,6.9,2.042
-38.718,7.033,2.042
-38.786,7.167,2.042
-38.86,7.315,2.042
-38.925,7.441,2.059
-38.995,7.566,2.077
-39.065,7.689,2.094
-39.128,7.793,2.129
-39.205,7.912,2.147
-39.286,8.033,2.164
-39.37,8.152,2.182
-39.442,8.252,2.199
-39.515,8.352,2.199
-39.606,8.471,2.217
-39.721,8.622,2.217
-39.793,8.719,2.199
-39.877,8.833,2.182
-39.947,8.933,2.164
-40.037,9.069,2.147
-40.103,9.171,2.129
-40.177,9.293,2.094
-40.237,9.398,2.077
-40.296,9.506,2.059
-40.369,9.65,2.042
-40.423,9.759,2.025
-40.485,9.902,1.99
-40.533,10.013,1.99
-40.607,10.181,2.007
-40.661,10.293,2.025
-40.725,10.426,2.025
-40.789,10.559,2.042
-40.845,10.673,2.042
-40.913,10.806,2.042
-40.97,10.92,2.042
-41.048,11.073,2.042
-41.106,11.187,2.042
-41.174,11.32,2.042
-41.232,11.434,2.042
