time,x,y,z,xref,yref,zref,ux,uy,uz,dx_dt,dy_dt,dz_dt,rx_est,ry_est,rz_est
1.9e-05,2.251,-0.1562,-0.0004495,6.072e-07,6.072e-07,0.0006072,-1.221e-06,-1.221e-06,0.01961,5.286343612334828,4.297601566324034,0.0060009789525208,1.7927757503865183e-05,-0.00019171751031835246,0.1575311796377874
0.010234,2.305,-0.1123,-0.0003882,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333,6.300948392450309,5.084260627066374,0.006800979727371544,3.48350047516801e-05,-0.00011305064781970853,0.2432552201469843
0.020241,2.378,-0.05371,-0.0003123,0.0004778,0.0004778,0.4778,0.0004774,0.0004774,0.4902,7.049656908831878,7.081716339241006,0.007880413722602725,3.936934901103346e-05,0.00017316386278429024,0.3582780294176705
0.030234,2.446,0.0293,-0.0002306,0.0004732,0.0004732,0.4732,0.0004725,0.0004725,0.4902,7.80203237849949,7.083335902735576,0.0071532196299226095,2.82540389124813e-05,0.00010073636052321624,0.40327032225235404
0.040234,2.534,0.08789,-0.0001693,0.0002879,0.0002879,0.2879,0.0002869,0.0002869,0.2941,7.599999999999994,6.345000000000001,0.003210000000000001,7.623982068141088e-06,-0.00011517798206814073,0.25570880000000007
0.050234,2.598,0.1562,-0.0001664,-7.351e-06,-7.351e-06,-0.007351,-8.547e-06,-8.547e-06,0.01961,8.300000000000011,5.860499999999998,-0.00204,2.7857716676632483e-06,-0.00020542497166766305,0.04954879999999999
0.060234,2.7,0.2051,-0.0002101,-0.0002998,-0.0002998,-0.2998,-0.0003016,-0.0003016,-0.2941,7.800000000000011,3.9099999999999993,-0.007879999999999998,-1.7774838015540556e-05,-0.0005554771619844593,-0.2068663999999999
0.070234,2.754,0.2344,-0.000324,-0.0004777,-0.0004777,-0.4777,-0.0004799,-0.0004799,-0.451,7.099999999999994,3.1750000000000025,-0.012550000000000002,-4.381894082486552e-05,-0.000592757059175134,-0.4217140000000001
0.080234,2.842,0.2686,-0.0004611,-0.0004732,-0.0004732,-0.4732,-0.000475,-0.000475,-0.451,7.800000000000011,2.440000000000003,-0.011820000000000004,-2.268314046622818e-05,-0.0006242308595337711,-0.3493496000000002
0.090234,2.91,0.2832,-0.0005604,-0.0002879,-0.0002879,-0.2879,-0.0002894,-0.0002894,-0.2549,7.049999999999983,2.1949999999999967,-0.00876,-3.8189431560071855e-05,-0.0006023215684399291,-0.1747728
0.100234,2.983,0.3125,-0.0006363,7.342e-06,7.342e-06,0.007342,6.105e-06,6.105e-06,0.01961,8.549999999999983,4.150000000000002,-0.005250000000000001,6.496309623430614e-06,-0.00018969430962343054,0.03802999999999995
0.110234,3.081,0.3662,-0.0006654,0.0002998,0.0002998,0.2998,0.0002991,0.0002991,0.3333,10.050000000000011,4.885000000000003,-0.0011649999999999994,4.24156879856549e-05,-5.065768798565365e-05,0.30529380000000006
