time,meas_v2,meas_iL,vC1_ekf,vC2_ekf,iL_ekf,vC1_ukf,vC2_ukf,iL_ukf,bias_ekf,bias_ukf,vC1_true
1.8e-05,0.6689,0.0007063,-136.55040783204737,0.6688999999015305,0.0005767620274045283,-1.5997332147308043,0.6688998202439507,0.000706300275040192,-2.936155786634763e-217,7.597150488610413e-08,-1.685
0.010018,0.649111234911792,0.000601262859795729,46.12176640512307,0.6491112347911989,0.0006012628598104407,-1.0826266609760067,0.6491048230982097,0.000599506070055833,-9.942114954286634e-199,3.185924136132202e-07,-1.6310306406685238
0.020018,0.626292457778244,0.0005015776041120319,3.7784912420687107,0.6262924577782394,0.0005015776041120322,-1.0867097674400206,0.62567589636134,0.0005009182175356951,-1.215486247311179e-194,3.127579023521836e-06,-1.5806759676911781
0.030018,0.5976136976720952,0.0004086934159256669,3.7228809460316348,0.5976136982068936,0.000408693415869813,-1.1170272283877438,0.596826029533192,0.0004084635619850996,-1.522758721814621e-181,4.867454953291784e-06,-1.5481518633230094
0.040018,0.5653090690690691,0.0003139318718718719,-21.12643964033921,0.5653090696322508,0.00031393187173437635,-1.1483950008645307,0.5635674273649122,0.0003168082264594741,-7.496713891380318e-173,-1.0653172062818186e-06,-1.525406006006006
0.050018,0.5179953804619538,0.00024394121587841217,1.4931915013571135,0.5179953804619538,0.0002439412158784038,-1.2202281415831633,0.5208862527172071,0.00023404552121218412,-9.613787922072815e-171,2.5623188731331136e-05,-1.4973821617838217
0.060017999999999995,0.47564988498849886,0.00016995273527352738,-0.964364583002131,0.47564988498844174,0.00016995273527351464,-1.2783460647364944,0.47592398577874945,0.0001665177788544262,-1.5113820439834968e-158,3.4602388629089865e-05,-1.4862352235223522
0.07001800000000001,0.44130415999999995,9.709384799999989e-05,0.3009551106823669,0.44130415999998623,9.709384800000075e-05,-1.3147530092587423,0.43327189165948304,0.00011609503965489557,-2.568359197127889e-147,-5.73733007014544e-05,-1.466764
0.080018,0.40425345465453455,2.7725544245575422e-05,-0.6261584117017538,0.40425345354908243,1.6380228581283617e-05,-1.349064380705483,0.39068205676000806,6.371835102497576e-05,-3.017397386085193e-145,-0.0002569795532941921,-1.4677656234376562
0.090018,0.34392805,-1.716694050000001e-05,-1.5566132628961715,0.34392805000000015,-1.7166940500000563e-05,-1.4118903656769888,0.3390155922030478,-2.8040055449666115e-06,9.260842579793672e-133,-0.0003478696892213191,-1.487235
0.10001800000000001,0.2886428999999999,-5.596745000000006e-05,-1.3630304046021378,0.2886428978791702,-7.773360814784082e-05,-1.482580001287306,0.28415153066676313,-4.38998920975345e-05,3.2319581344667185e-132,-0.0004419195294046173,-1.5098515000000001
0.110018,0.23162457491498298,-9.417366273254652e-05,-1.4392069599122752,0.23162457491498298,-9.417366273254627e-05,-1.5592226350274254,0.22667397098124714,-7.992988302149625e-05,5.792197255849665e-119,-0.0005629661433093888,-1.5604724944988997
0.120018,0.17633307669233075,-0.0001146028197180282,-1.3756464643171629,0.1763330748752594,-0.000133251494933609,-1.6393481962688847,0.16879257914923912,-9.356587160606521e-05,-3.42068905660232e-117,-0.0007647865036960655,-1.6238644135586442
0.130018,0.1130083771622838,-0.0001284,-1.5984184557448127,0.11300837716228272,-0.00012840000000053384,-1.727865919124614,0.10772056000918025,-0.00011171134134165205,1.2406866883378786e-100,-0.000933927902034285,-1.7036204379562043
0.140018,0.05400050205020498,-0.00013500006000600063,-1.5941076415629214,0.05400050205006311,-0.00013500006000600017,-1.8202401016426482,0.04649396159577421,-0.0001119234748174501,1.7114231534750978e-93,-0.0011903894676640447,-1.786000300030003
0.15001799999999998,0.010481905809419167,-0.0001431375662433757,-1.3050643875912213,0.010481905809419188,-0.0001431375662433757,-1.9088760244534158,-0.008925337880108901,-8.607210452131883e-05,2.414360773994413e-86,-0.0018690586715939925,-1.8883274672532746
0.160018,-0.05801899589958987,-0.00012563818381838187,-1.9679568636633258,-0.05801899716332279,-0.00013860792434838612,-2.0081228739472308,-0.06941435167958698,-8.627936427342791e-05,2.991195054346487e-82,-0.0023463850739480962,-1.988088508850885
0.170018,-0.11346462399999997,-0.00010625364800000001,-0.8759764861196684,-0.11346462400002567,-0.00010625364800000001,-2.1098878697450827,-0.128178173691594,-5.736816626817736e-05,3.00015307092861e-66,-0.0029936900160658837,-2.0888612
0.18001799999999998,-0.17177315999999987,-7.442296800000008e-05,-0.44377883547304675,-0.1717731599458785,-7.442296800147238e-05,-2.215634040594381,-0.18654284235757163,-2.2830206320637194e-05,-3.1462772008413294e-57,-0.0037094092960014043,-2.2026252
0.190018,-0.23725275999999995,-2.858229240000005e-05,-1.1542059393039794,-0.23725275999999995,-2.858229239888305e-05,-2.3277135695801627,-0.24699961190452172,1.1571874059118088e-05,7.878404995988519e-50,-0.004284007978507931,-2.3144791999999996
0.200018,-0.28738751999999995,1.785903239999997e-05,-1.8874675820687383,-0.2873875199999999,1.7859032399999966e-05,-2.439856285174252,-0.3030057982715453,7.534598178666356e-05,-1.2924749385600087e-46,-0.005167076255893599,-2.4351848
0.21001799999999998,-0.3526916799999999,8.394523599999991e-05,-1.8389521769707002,-0.35269168000000073,8.394523599999976e-05,-2.557841524894138,-0.3613390724327694,0.0001258815616415006,-2.531083437247599e-31,-0.0058142628630077214,-2.5544792
0.220018,-0.4015224577542245,0.00015492043795620428,-3.355780175562019,-0.4015224577542102,0.00015492043795622878,-2.675656716551739,-0.41484669641677757,0.0002104613502461359,-5.007896289982991e-17,-0.006735812629850067,-2.678093090690931
0.230018,-0.45197194999999996,0.00023166809999999996,-2.397908920768705,-0.45197194952305786,0.00023656297464980328,-2.7943762413539766,-0.4657171181394951,0.00029246119533878897,-1.4922362873354472e-17,-0.007762373949350845,-2.811231
0.24001799999999998,-0.5040868,0.0003200853999999998,-2.6399751202107455,-0.5040887494405051,0.00032068829398519536,-2.9147510140338238,-0.515248837480466,0.0003770283754984448,-2.3059824809045312e-06,-0.008744447470039532,-2.9478495
0.250018,-0.5481648064806481,0.0004136090809080909,-2.6802529933599737,-0.5491328512061517,0.000414322373616924,-3.0344526693294953,-0.5607794429303261,0.0004772459753808295,-3.75590026020184e-06,-0.009882439134667043,-3.0713239323932395
0.260018,-0.5823660133986602,0.0005058686131386863,-2.715176831271102,-0.5856885615414081,0.0005078789393088783,-3.151030499568389,-0.600052261084145,0.0005878344856270002,-1.3288785012798623e-05,-0.011389159688572693,-3.2083287671232883
0.27001800000000004,-0.6102235723572358,0.0006061561656165621,-2.774450590800084,-0.6160087962440011,0.00060865994875542,-3.263505970466687,-0.6326504571820041,0.0007066860526967695,-3.609380147281047e-05,-0.013281168264449843,-3.3388532853285335
0.28001800000000004,-0.6358916800000003,0.0007109733600000009,-2.865003511554291,-0.642784685255618,0.0007138542483680293,-3.3720975292620845,-0.6600096455564568,0.0008230686541328166,-7.361746174759236e-05,-0.01542234821999176,-3.4574792000000008
0.290018,-0.6783814800000001,0.0008335410000000003,-3.0315902650048394,-0.6764521379263045,0.000833706888423171,-3.4822092193097074,-0.6899794534779103,0.0009173978322654196,-6.249486077057572e-05,-0.017011410528791134,-3.5746252000000003
0.300018,-0.7045419258074194,0.0009531572842715731,-3.1774337673858515,-0.7051888200249432,0.000954360384106596,-3.5891410525949237,-0.7156020479827742,0.0010382384257009091,-7.074476010737878e-05,-0.018681919180188404,-3.688093090690931
0.310018,-0.7225235723572357,0.0010727062706270632,-3.304406342742882,-0.7275677584887577,0.0010753224078830187,-3.691211429986558,-0.7353326668157709,0.0011676786353617982,-0.00012693613765909644,-0.020582819714738246,-3.8073238323832386
0.320018,-0.7324,0.0012014792000000002,-3.416198143073792,-0.7428872409211801,0.0012049041583115758,-3.7870830454676265,-0.7479196869265249,0.0013094478934174685,-0.0002603033457292236,-0.022788139166302596,-3.9116252
0.33001800000000003,-0.7355709629037097,0.0013237988201179884,-3.517449356285968,-0.7511130112992459,0.0013291185579995038,-3.8758184252176586,-0.7535819167959021,0.0014465074988828195,-0.0004916669129345484,-0.025313954366788537,-4.017327467253275
0.34001800000000004,-0.7390293829382938,0.001447441544154416,-3.616401525809933,-0.7553736479300237,0.0014531437165350575,-3.9584870870943325,-0.7549176639856369,0.00157253773514441,-0.0007732183976078171,-0.027897537349264957,-4.109000200020002
0.35001800000000005,-0.73081436,0.0015708320000000007,-3.7052555325903094,-0.7526237679163855,0.0015778347919874374,-4.032747320707607,-0.7490358546235312,0.0017096462238862706,-0.001196599225689887,-0.030811503654413052,-4.189948800000001
0.360018,-0.72277544,0.0016888904,-3.78947904384851,-0.7455772689421709,0.0016966862495788292,-4.099678955853701,-0.738769050354897,0.0018311539626210227,-0.0016972863057317803,-0.033799513023157715,-4.2817688
0.370018,-0.7065897999999999,0.0018035376000000002,-3.865492865951401,-0.7328878124307544,0.0018123980161836011,-4.157958529128284,-0.7226889929327924,0.0019547098635690255,-0.002338531833300368,-0.03700561023683692,-4.3400924
0.380018,-0.6823339866013398,0.001916298170182982,-3.931555073449157,-0.7136462011156874,0.001926381600068491,-4.2064573190324195,-0.6998146934944501,0.0020807087517970197,-0.0031762555819262574,-0.04052496485572611,-4.3958548145185485
0.39001800000000003,-0.6465498849884987,0.0020219708970897095,-3.985010486825338,-0.6859376963090338,0.0020343088640661098,-4.243210614231308,-0.6683198646243,0.002209147441741515,-0.004319372156379785,-0.044565945351222304,-4.443235423542355
0.40001800000000004,-0.6137904309569042,0.00212891600839916,-4.0306613319709825,-0.6540626116117669,0.0021413230205718768,-4.2704416587138025,-0.6323866604623531,0.002319811424724607,-0.005601918217677657,-0.048685792423683386,-4.482383461653835
0.41001800000000005,-0.5879498849884986,0.0022360297029702975,-4.072305060158257,-0.6220180468140333,0.0022468796742761785,-4.291057993192538,-0.5963079868956404,0.002409886395731149,-0.006816832996091871,-0.05242604366368502,-4.508147114711471
0.420018,-0.5504328799999999,0.002332124,-4.105026598697848,-0.5855244185970064,0.002343718739023932,-4.302493309629943,-0.5560075286571711,0.0025074865946251718,-0.008176497723051967,-0.05623306598250721,-4.5197056
0.430018,-0.5130953804619537,0.0024185618438156186,-4.129921393978316,-0.5464362891041842,0.002430353254326849,-4.305711350479685,-0.5133499796652994,0.002590069064326852,-0.009596564619187035,-0.05995157063273646,-4.518294270572943
0.440018,-0.46127038703870366,0.002492706070607061,-4.142787402159283,-0.5005760861820483,0.0025064827344225206,-4.297588441890727,-0.4639427515269737,0.002681039692290204,-0.011350717144878814,-0.06407170825054365,-4.508382238223822
0.45001800000000003,-0.39920831999999995,0.0025576812,-4.142114223888654,-0.44679247969314884,0.0025737968672251217,-4.276580622394179,-0.40643413685549196,0.0027711911776637107,-0.013557765751030574,-0.06876227923764282,-4.4807056
