# PCChua Data Acquisition and Control Software
# Date: Fri Aug 29 07:16:54 1997
# 
# Experiment: Chua's Circuit Perturbation.
#
# Ts = 10.00 ms
#
# Columns (10): 
# (time)  (x  y  z)  (xref  yref  zref)  (ux  uy  uz)

0.420234 3.892e+00 -1.221e-01 -2.548e-03 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
0.430233 3.833e+00 -1.514e-01 -2.431e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.440235 3.740e+00 -1.709e-01 -2.341e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.450233 3.643e+00 -2.148e-01 -2.271e-03 -7.333e-06 -7.333e-06 -7.333e-03 -8.547e-06 -8.547e-06 1.961e-02
0.460234 3.564e+00 -2.637e-01 -2.244e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.470234 3.423e+00 -3.076e-01 -2.277e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.480235 3.306e+00 -3.760e-01 -2.291e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.490234 3.179e+00 -4.395e-01 -2.291e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.500234 3.057e+00 -4.932e-01 -2.241e-03 7.355e-06 7.355e-06 7.355e-03 6.105e-06 6.105e-06 1.961e-02
0.510233 2.949e+00 -5.225e-01 -2.116e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.520234 2.842e+00 -5.518e-01 -1.941e-03 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.530235 2.754e+00 -5.518e-01 -1.763e-03 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.540234 2.676e+00 -5.713e-01 -1.582e-03 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.550234 2.568e+00 -5.713e-01 -1.468e-03 -7.352e-06 -7.352e-06 -7.352e-03 -8.547e-06 -8.547e-06 1.961e-02
0.560234 2.476e+00 -5.664e-01 -1.407e-03 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.570234 2.373e+00 -5.908e-01 -1.380e-03 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.580234 2.280e+00 -6.152e-01 -1.363e-03 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.590234 2.183e+00 -6.494e-01 -1.313e-03 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.600235 2.095e+00 -6.592e-01 -1.232e-03 7.371e-06 7.371e-06 7.371e-03 6.105e-06 6.105e-06 1.961e-02
0.610234 2.036e+00 -6.494e-01 -1.086e-03 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.620233 1.982e+00 -6.299e-01 -9.077e-04 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.630234 1.943e+00 -5.859e-01 -7.151e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.640235 1.919e+00 -5.371e-01 -5.633e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.650233 1.890e+00 -4.980e-01 -4.495e-04 -7.334e-06 -7.334e-06 -7.334e-03 -8.547e-06 -8.547e-06 1.961e-02
0.660234 1.885e+00 -4.639e-01 -3.969e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.670233 1.865e+00 -4.492e-01 -3.853e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.680235 1.846e+00 -4.199e-01 -4.086e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.690234 1.836e+00 -4.053e-01 -3.998e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.700233 1.826e+00 -3.760e-01 -3.619e-04 7.333e-06 7.333e-06 7.333e-03 6.105e-06 6.105e-06 1.961e-02
0.710235 1.855e+00 -3.271e-01 -2.714e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.720233 1.890e+00 -2.637e-01 -1.576e-04 4.777e-04 4.777e-04 4.777e-01 4.774e-04 4.774e-04 4.902e-01
0.730235 1.968e+00 -1.855e-01 -3.502e-05 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.740234 2.041e+00 -1.074e-01 5.545e-05 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.750234 2.114e+00 -3.418e-02 7.880e-05 -7.339e-06 -7.339e-06 -7.339e-03 -8.547e-06 -8.547e-06 1.961e-02
0.760234 2.197e+00 1.953e-02 7.588e-05 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.770234 2.256e+00 6.348e-02 -8.756e-06 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.780235 2.334e+00 1.025e-01 -1.080e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.790234 2.412e+00 1.367e-01 -1.955e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
0.800234 2.500e+00 1.758e-01 -2.422e-04 7.358e-06 7.358e-06 7.358e-03 6.105e-06 6.105e-06 1.961e-02
0.810234 2.603e+00 2.441e-01 -2.539e-04 2.998e-04 2.998e-04 2.998e-01 2.991e-04 2.991e-04 3.333e-01
0.820235 2.729e+00 3.076e-01 -2.306e-04 4.778e-04 4.778e-04 4.778e-01 4.774e-04 4.774e-04 4.902e-01
0.830235 2.856e+00 3.809e-01 -1.985e-04 4.732e-04 4.732e-04 4.732e-01 4.725e-04 4.725e-04 4.902e-01
0.840235 2.998e+00 4.590e-01 -2.043e-04 2.879e-04 2.879e-04 2.879e-01 2.869e-04 2.869e-04 2.941e-01
0.850234 3.125e+00 5.127e-01 -2.539e-04 -7.343e-06 -7.343e-06 -7.343e-03 -8.547e-06 -8.547e-06 1.961e-02
0.860234 3.252e+00 5.615e-01 -3.619e-04 -2.998e-04 -2.998e-04 -2.998e-01 -3.016e-04 -3.016e-04 -2.941e-01
0.870234 3.354e+00 5.859e-01 -5.283e-04 -4.777e-04 -4.777e-04 -4.777e-01 -4.799e-04 -4.799e-04 -4.510e-01
0.880234 3.462e+00 6.055e-01 -7.121e-04 -4.732e-04 -4.732e-04 -4.732e-01 -4.750e-04 -4.750e-04 -4.510e-01
0.890234 3.569e+00 6.201e-01 -8.873e-04 -2.879e-04 -2.879e-04 -2.879e-01 -2.894e-04 -2.894e-04 -2.549e-01
